keys,en,es,zh_CN,ru,pt_BR,de,ja,fr,pl,ko,_notes
TXT_TUTORIAL_EXPLAIN_SYN_ABILITY_2,"Click the [color=red]Rune[/color] to ready the Sorcery.
","Haz clic en la [color=red]runa[/color] para preparar la hechicería.
","点击[color=red]符文[/color]准备魔法。
","Нажмите на [color=red]руну[/color], чтобы подготовить чары.
","Clique na [color=red]runa[/color] para preparar o feitiço.
","Klicke die [color=red]Rune[/color] an um den Zauber bereitzumachen.
","[color=red]ルーン[/color]をクリックして魔術を構えよう。
","Cliquez sur la [color=red]rune[/color] pour préparer la sorcellerie.
","Kliknij [color=red]runę[/color], by przygotować czar.
","[color=red]룬[/color]을 클릭해 마법을 준비하세요.
",res://_Assets/Text/TextFiles/Tutorial_Explain_Syn_Ability_2.txt
TXT_TUTORIAL_EXPLAIN_SYN_ABILITY_3,"[color=red]Click[/color] the Map to [color=red]Invoke[/color]  the [color=red]Sorcery[/color]
","[color=red]Haz clic[/color] en el mapa para [color=red]invocar[/color] la [color=red]hechicería[/color]
","[color=red]点击[/color]地图以[color=red]施放[/color][color=red]魔法[/color]
","[color=red]Нажмите[/color] на карту, чтобы [color=red]сотворить[/color] [color=red]чары[/color]
","[color=red]Clique[/color] no mapa para [color=red]invocar[/color] o [color=red]feitiço[/color]
","[color=red]Klicke[/color] auf die Karte um den [color=red]Zauber[/color] zu [color=red]wirken[/color]
","マップを[color=red]クリック[/color]して[color=red]魔術[/color]を[color=red]発動[/color]
","[color=red]Cliquez[/color] sur la carte pour [color=red]invoquer[/color] la [color=red]sorcellerie[/color]
","[color=red]Kliknij[/color] mapę, by [color=red]rzucić[/color] [color=red]czar[/color]
","맵을 [color=red]클릭[/color]해 [color=red]마법[/color]을 [color=red]발동[/color]하세요
",res://_Assets/Text/TextFiles/Tutorial_Explain_Syn_Ability_3.txt
TXT_TUTORIAL_EXPLAIN_SYN_ABILITY_4,"Each Dimension has it's own Syn Sorcery & cooldown.
[color=red][b]swap[/b][/color] & [color=red]Invoke[/color] the [color=red]Sorcery[/color] again
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Explain_Syn_Ability_4.txt
TXT_TUTORIAL_EXPLAIN_SYN_ABILITY_5,"[color=red]Click[/color] the Rune then Map to [color=red]Invoke[/color] the [color=red]Sorcery[/color]
","[color=red]Haz clic[/color] en la runa y luego en el mapa para [color=red]invocar[/color] la [color=red]hechicería[/color]
","先[color=red]点击[/color]符文再点击地图，以[color=red]施放[/color][color=red]魔法[/color]
","[color=red]Нажмите[/color] на руну, затем на карту, чтобы [color=red]сотворить[/color] [color=red]чары[/color]
","[color=red]Clique[/color] na runa e depois no mapa para [color=red]invocar[/color] o [color=red]feitiço[/color]
","[color=red]Klicke[/color] die Rune und dann die Karte an um den [color=red]Zauber[/color] zu [color=red]wirken[/color]
","ルーン、次にマップを[color=red]クリック[/color]して[color=red]魔術[/color]を[color=red]発動[/color]
","[color=red]Cliquez[/color] sur la rune puis sur la carte pour [color=red]invoquer[/color] la [color=red]sorcellerie[/color]
","[color=red]Kliknij[/color] runę, potem mapę, by [color=red]rzucić[/color] [color=red]czar[/color]
","룬을 [color=red]클릭[/color]한 다음 맵을 클릭해 [color=red]마법[/color]을 [color=red]발동[/color]하세요
",res://_Assets/Text/TextFiles/Tutorial_Explain_Syn_Ability_5.txt
TXT_TUTORIAL_EXPLAIN_SYN_ABILITY_6,"Use both at the [color=red]same time[/color] across dimensions for more [color=red]powerful effects[/color].
","Usa ambas [color=red]a la vez[/color] en las dos dimensiones para lograr [color=red]efectos más potentes[/color].
","在两个维度[color=red]同时[/color]使用两个魔法，可获得[color=red]更强大的效果[/color]。
","Используйте обе [color=red]одновременно[/color] в разных измерениях ради [color=red]более мощных эффектов[/color].
","Use os dois [color=red]ao mesmo tempo[/color] nas duas dimensões para [color=red]efeitos mais poderosos[/color].
","Nutze beide [color=red]gleichzeitig[/color] über die Dimensionen hinweg für [color=red]mächtigere Effekte[/color].
","両次元で[color=red]同時に[/color]使えば、より[color=red]強力な効果[/color]を得られる。
","Utilisez les deux [color=red]en même temps[/color] à travers les dimensions pour des [color=red]effets plus puissants[/color].
","Użyj obu [color=red]jednocześnie[/color] w obu wymiarach, by uzyskać [color=red]potężniejsze efekty[/color].
","두 차원에서 [color=red]동시에[/color] 사용하면 [color=red]더 강력한 효과[/color]를 얻습니다.
",res://_Assets/Text/TextFiles/Tutorial_Explain_Syn_Ability_6.txt
TXT_TUTORIAL_EXPLAIN_SYN_ABILITY_7,"Use them at [color=red]different times[/color] for [color=red]faster cooldowns[/color] (an ability will recharge faster when the other dimension ability is active).
","Úsalas en [color=red]momentos distintos[/color] para [color=red]enfriamientos más rápidos[/color] (una habilidad se recarga más deprisa mientras la de la otra dimensión está activa).
","在[color=red]不同时机[/color]使用则可[color=red]加快冷却[/color]（当另一维度的技能生效时，本技能会更快充能）。
","Используйте их в [color=red]разное время[/color] ради [color=red]быстрой перезарядки[/color] (способность заряжается быстрее, пока активна способность другого измерения).
","Use-os em [color=red]momentos diferentes[/color] para [color=red]recargas mais rápidas[/color] (uma habilidade recarrega mais rápido enquanto a da outra dimensão está ativa).
","Nutze sie zu [color=red]unterschiedlichen Zeiten[/color] für [color=red]schnellere Abklingzeiten[/color] (eine Fähigkeit lädt schneller wenn die der anderen Dimension aktiv ist).
","[color=red]別々のタイミング[/color]で使えば[color=red]クールダウンが早まる[/color]（もう一方の次元のアビリティが発動中だと、より速く再チャージされる）。
","Utilisez-les à des [color=red]moments différents[/color] pour des [color=red]recharges plus rapides[/color] (un pouvoir se recharge plus vite quand celui de l'autre dimension est actif).
","Używaj ich w [color=red]różnym czasie[/color] dla [color=red]szybszego odnowienia[/color] (zdolność ładuje się szybciej, gdy zdolność drugiego wymiaru jest aktywna).
","[color=red]서로 다른 시점[/color]에 사용하면 [color=red]재사용 대기시간이 빨라집니다[/color] (다른 차원의 능력이 발동 중일 때 능력이 더 빨리 충전됩니다).
",res://_Assets/Text/TextFiles/Tutorial_Explain_Syn_Ability_7.txt
TXT_TUTORIAL_EXPLAIN_ULTIMATES,"Command Demons to unleash their [color=red][b]maximum power[/b].[/color]
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Explain_Ultimates.txt
TXT_TUTORIAL_EXPLAIN_ULTIMATES_2,"Each Demon has a unique [color=red][b]ultimate[/b][/color]. Generate [color=red][b]mana[/b][/color] for [color=red][b]ultimates[/b][/color] via [color=red]Demon activity[/color].
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Explain_Ultimates_2.txt
TXT_TUTORIAL_EXPLAIN_ULTIMATES_3,"Generating enough [color=red][b]mana[/b][/color] grants an [color=red][b]ultimate charge[/b][/color]. Try using an Ultimate Now. [color=red]Click the Ultimate Bar[/color].
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Explain_Ultimates_3.txt
TXT_TUTORIAL_EXPLAIN_ULTIMATES_4,"Now click the [color=red]Crawler[/color].
","Ahora haz clic en el [color=red]Crawler[/color].
","现在点击[color=red]爬行者[/color]。
","Теперь нажмите на [color=red]Ползуна[/color].
","Agora clique no [color=red]Crawler[/color].
","Klicke jetzt den [color=red]Crawler[/color] an.
","次は[color=red]クローラー[/color]をクリック。
","Cliquez maintenant sur le [color=red]Crawler[/color].
","Teraz kliknij [color=red]Crawlera[/color].
","이제 [color=red]크롤러[/color]를 클릭하세요.
",res://_Assets/Text/TextFiles/Tutorial_Explain_Ultimates_4.txt
TXT_TUTORIAL_EXPLAIN_ULTIMATES_5,"[color=red]Efficient[/color] Demon Use = [color=red]Faster[/color] Ultimate Charge. Check the [color=red]Codex[/color] for more details.
","Uso [color=red]eficiente[/color] de demonios = carga de definitiva [color=red]más rápida[/color]. Consulta el [color=red]códice[/color] para más detalles.
","[color=red]高效[/color]使用恶魔 = [color=red]更快[/color]的终极技充能。详情请查阅[color=red]图鉴[/color]。
","[color=red]Умелое[/color] использование демонов = [color=red]быстрая[/color] зарядка ультимата. Подробности — в [color=red]кодексе[/color].
","Uso [color=red]eficiente[/color] dos demônios = carga de Suprema [color=red]mais rápida[/color]. Veja o [color=red]códice[/color] para mais detalhes.
","[color=red]Effizienter[/color] Dämoneneinsatz = [color=red]schnellere[/color] Ultimativ-Ladung. Details stehen im [color=red]Kodex[/color].
","悪魔を[color=red]効率的に[/color]使えば、アルティメットチャージも[color=red]速くなる[/color]。詳細は[color=red]コデックス[/color]で。
","Un usage [color=red]efficace[/color] des démons = charge d'Ultime [color=red]plus rapide[/color]. Consultez le [color=red]codex[/color] pour plus de détails.
","[color=red]Sprawne[/color] użycie demonów = [color=red]szybsze[/color] ładowanie ultimatu. Szczegóły znajdziesz w [color=red]kodeksie[/color].
","악마를 [color=red]효율적으로[/color] 쓰면 궁극기 충전이 [color=red]빨라집니다[/color]. 자세한 내용은 [color=red]코덱스[/color]에서 확인하세요.
",res://_Assets/Text/TextFiles/Tutorial_Explain_Ultimates_5.txt
TXT_TUTORIAL_EXPLAIN_WAVES,"Click the [color=red][b]skull[/b][/color] to call [color=purple]zombie[/color] [color=green]waves[/color] [color=red][b]early[/b][/color] for [color=red][b]bonus blood[/b][/color]
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Explain_Waves.txt
TXT_TUTORIAL_EXPLAIN_WYRM_QUEEN,"A [color=red][b]demon queen[/b][/color] has decided to aid you. [color=red]Defend them[/color] and gain their alliegance. 
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Explain_Wyrm_Queen.txt
TXT_TUTORIAL_PLACE_PORTAL,"Select & Place a [color=purple][b]por[/b][/color][color=green][b]tal[/b][/color] now.
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Place_Portal.txt
TXT_TUTORIAL_PLACE_PORTAL_2,"Swap & Place another [color=purple][b]por[/b][/color][color=green][b]tal[/b][/color] now.
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Place_Portal_2.txt
TXT_TUTORIAL_SELECT_DEMON,"Select one now
","Selecciona uno ahora
","现在选择一个
","Выберите одного сейчас
","Selecione um agora
","Wähle jetzt einen
","今すぐ選択しよう
","Sélectionnez-en un maintenant
","Wybierz jednego teraz
","지금 하나를 선택하세요
",res://_Assets/Text/TextFiles/Tutorial_Select_Demon.txt
TXT_TUTORIAL_SELECT_WYRM,"Select a Wyrm Demon now
","Selecciona un demonio Sierpe ahora
","现在选择一只蠕龙恶魔
","Выберите демона-Змия сейчас
","Selecione um demônio Serpe agora
","Wähle jetzt einen Wyrm-Dämon
","今すぐワームの悪魔を選択しよう
","Sélectionnez un démon Vouivre maintenant
","Wybierz demona Żmija teraz
","지금 웜 악마를 선택하세요
",res://_Assets/Text/TextFiles/Tutorial_Select_Wyrm.txt
TXT_TUTORIAL_SPINAL_OCCULUM_UNLOCKED,"[b]spinal occulum unlocked[/b]
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Spinal_Occulum_Unlocked.txt
TXT_WASPTUTORIAL,"[b]hive[/b]'s are dens of demonic wasps that can harrass and slow down enemies near itself. Covers more ground and does more damage than the Occular Spine at the cost of durablity. Place wisely. 
",,,,,,,,,,res://_Assets/Text/TextFiles/waspTutorial.txt
TXT_WASPWYRMBUFF,"[b]hive[/b]'s can [b]receive[/b] buffs from [b]eggwyrm[/b]'s, enraging the demonic wasps and causing them to attack faster and deal more damage.
",,,,,,,,,,res://_Assets/Text/TextFiles/WaspWyrmBuff.txt
TXT_WYRMMAWBUFF,"The fresh blood dripping from the EggWyrms cocoon can seep into the jaws of a [b]maw[/b], aiding it's digestion allowing it to kill enemies faster. 
",,,,,,,,,,res://_Assets/Text/TextFiles/WyrmMawBuff.txt
TXT_WYRMQUEEN,"A queen Wyrm that can give but not receive buffs.
","Una Sierpe reina que puede dar mejoras, pero no recibirlas.
","蠕龙女王：只能给予增益，无法接受增益。
","Царица Змиев: может давать усиления, но не получать их.
","Uma Serpe rainha que pode dar bênçãos, mas não recebê-las.
","Eine Wyrmkönigin die Buffs geben, aber keine erhalten kann.
","バフを与えられるが受け取れないワームの女王。
","Une Reine Vouivre qui peut donner des bonus mais pas en recevoir.
","Królowa Żmijów, która może dawać wzmocnienia, lecz ich nie otrzymuje.
","강화를 줄 수는 있지만 받을 수는 없는 웜 여왕.
",res://_Assets/Text/TextFiles/WyrmQueen.txt
TXT_WYRMSPINEBUFF,"EggWyrms can simultanesouly buff [b]occular spine[/b]'s and themselves, granting the Spine increased health regeneration while increasing the Wyrm's damage.
",,,,,,,,,,res://_Assets/Text/TextFiles/WyrmSpineBuff.txt
TXT_WYRMTUTORIAL,"Hatchling wyrms that fire a stream of super heated piercing blood.

Useful at taking out groups of enemies but struggles against high health single targets.

Summon one now.
","Crías de sierpe que disparan un chorro de sangre perforante sobrecalentada.

Útiles contra grupos de enemigos, pero flojas contra objetivos únicos con mucha salud.

Invoca una ahora.
","蠕龙幼体，能喷射超高温的穿透血流。

擅长清理成群的敌人，但难以应对高生命的单体目标。

现在召唤一只。
","Детёныши змиев, стреляющие струёй раскалённой пробивающей крови.

Хороши против групп врагов, но слабы против одиночных живучих целей.

Призовите одного сейчас.
","Filhotes de serpe que disparam um jato de sangue perfurante superaquecido.

Úteis contra grupos de inimigos, mas sofrem contra alvos únicos com muita vida.

Invoque uma agora.
","Wyrm-Schlüpflinge die einen Strahl überhitzten, durchdringenden Bluts abfeuern.

Nützlich gegen Gegnergruppen, aber schwach gegen einzelne Ziele mit viel Leben.

Beschwöre jetzt einen.
","超高温の貫通する血流を放つワームの幼体。

敵の群れの一掃に役立つが、高体力の単体には苦戦する。

今すぐ召喚しよう。
","Des vouivres nouveau-nées qui crachent un jet de sang perforant surchauffé.

Utiles pour éliminer des groupes d'ennemis, mais en difficulté contre les cibles uniques très résistantes.

Invoquez-en une maintenant.
","Świeżo wyklute żmije strzelające strumieniem przegrzanej, przebijającej krwi.

Przydatne przeciw grupom wrogów, lecz słabe przeciw pojedynczym celom o dużym zdrowiu.

Przyzwij jednego teraz.
","초고온의 관통하는 피를 내뿜는 갓 부화한 웜.

적 무리를 처리하는 데 유용하지만 체력 높은 단일 대상에는 약합니다.

지금 하나를 소환하세요.
",res://_Assets/Text/TextFiles/WyrmTutorial.txt
