keys,en,es,zh_CN,ru,pt_BR,de,ja,fr,pl,ko
Text/33/text,"It looks like Argus has been doing something to the land and zombies, but how? I didn’t unleash him on our realm, I swear. That wasn’t a part of our deal.","Parece que Argus le ha estado haciendo algo a la tierra y a los zombis, pero ¿cómo? Yo no lo solté en nuestro mundo, lo juro. Eso no era parte del trato.","看来阿古斯一直在对这片土地和僵尸动手脚，可是怎么做到的？我发誓，我没有把他放进我们的世界。这不在我们的交易之内。","Похоже, Аргус что-то делает с землёй и зомби, но как? Я не выпускала его в наш мир, клянусь. Это не входило в нашу сделку.","Parece que o Argus anda fazendo algo com a terra e os zumbis, mas como? Eu não o soltei no nosso mundo, eu juro. Isso não fazia parte do nosso acordo.","Anscheinend macht Argus etwas mit dem Land und den Zombies, aber wie? Ich habe ihn nicht auf unsere Welt losgelassen, ich schwöre es. Das war nicht Teil unseres Deals.","アーガスが大地とゾンビに何かしてるみたいだけど、どうやって？誓って言うけど、私は彼を私たちの世界に解き放ってなんかいない。そんなの取引には含まれてなかった。","On dirait qu'Argus fait quelque chose à la terre et aux zombies, mais comment ? Je ne l'ai pas lâché sur notre monde, je le jure. Ça ne faisait pas partie de notre marché.","Wygląda na to, że Argus robi coś z ziemią i zombie, ale jak? Przysięgam, nie wypuściłam go na nasz świat. Tego nie było w naszym układzie.","아르구스가 땅과 좀비들에게 뭔가 하고 있는 것 같은데, 어떻게? 맹세코 난 그를 우리 세계에 풀어놓지 않았어. 그건 거래에 없던 일이야."
Text/34/text,Maybe you’re not the only one who’s been dealing with demons.,"Quizá no seas la única que ha estado haciendo tratos con demonios.","也许和恶魔做交易的人，不止你一个。","Может, не ты одна заключала сделки с демонами.","Talvez você não seja a única que anda fazendo acordos com demônios.","Vielleicht bist du nicht die Einzige die mit Dämonen Geschäfte macht.","悪魔と取引してたのは、あんただけじゃないのかもね。","Peut-être que tu n'es pas la seule à avoir traité avec des démons.","Może nie tylko ty paktowałaś z demonami.","악마와 거래한 게 너 하나만이 아닐지도 모르지."
Text/35/text,"…Ah, yes, I see. Another Crawler-derived mutant strain… If my figures are correct, that means I’m nearly finished…","…Ah, sí, ya veo. Otra cepa mutante derivada del Crawler… Si mis cifras son correctas, eso significa que casi he terminado…","……啊，是的，我明白了。又一种源自爬行者的突变株……如果我的数据没错，那就意味着我快要完成了……","…Ах да, вижу. Ещё один мутантный штамм на основе Ползуна… Если мои расчёты верны, значит, я почти закончил…","…Ah, sim, entendo. Mais uma cepa mutante derivada do Crawler… Se meus números estiverem certos, significa que estou quase terminando…","…Ah ja, ich verstehe. Noch ein vom Kriecher abgeleiteter Mutantenstamm… Wenn meine Zahlen stimmen, bin ich fast fertig…","……ああ、なるほど。またクローラー由来の変異株か……計算が正しければ、私の仕事はもうすぐ終わる……","…Ah oui, je vois. Encore une souche mutante dérivée du Rampant… Si mes chiffres sont exacts, cela signifie que j'ai presque terminé…","…Ach tak, rozumiem. Kolejny zmutowany szczep pochodny Pełzacza… Jeśli moje wyliczenia się zgadzają, to znaczy, że prawie skończyłem…","…아, 그래, 알겠군. 크롤러에서 파생된 또 다른 변이주라… 내 계산이 맞다면, 거의 다 끝나간다는 뜻이지…"
Text/36/text,"Holy shit, look. He’s mutating the zombies!","Joder, mira. ¡Está mutando a los zombis!","我的天，快看。他在让僵尸变异！","Офигеть, смотри. Он мутирует зомби!","Puta merda, olha. Ele está mutando os zumbis!","Heilige Scheiße, sieh nur. Er mutiert die Zombies!","うそでしょ、見て。あいつ、ゾンビを変異させてる！","Putain, regarde. Il fait muter les zombies !","O cholera, patrz. On mutuje zombie!","세상에, 저것 봐. 저자가 좀비를 변이시키고 있어!"
Text/37/text,"Argus is definitely behind this, he has to be. So what the hell are you waiting for? Kick his ass!","Seguro que Argus está detrás de esto, tiene que estarlo. ¿Y a qué demonios esperas? ¡Dale una paliza!","这背后肯定是阿古斯，一定是他。那你还等什么？揍扁他！","За этим точно стоит Аргус, больше некому. Так чего же ты ждёшь, чёрт возьми? Всыпь ему!","O Argus com certeza está por trás disso, só pode ser. Então o que diabos você está esperando? Acaba com ele!","Argus steckt garantiert dahinter, es kann nicht anders sein. Also worauf zum Teufel wartest du noch? Mach ihn fertig!","絶対アーガスが裏で糸を引いてる、間違いない。で、何をぐずぐずしてるのよ？ぶちのめしなさい！","Argus est forcément derrière tout ça, c'est obligé. Alors qu'est-ce que tu attends, bon sang ? Défonce-le !","Za tym na pewno stoi Argus, to musi być on. Więc na co, do diabła, czekasz? Złój mu skórę!","분명 아르구스가 배후야, 틀림없어. 그런데 대체 뭘 꾸물거리는 거야? 가서 혼쭐을 내줘!"
Text/38/text,"Oh, don’t worry. I plan to. Then we’ll get some answers.","Oh, descuida. Pienso hacerlo. Y entonces obtendremos respuestas.","哦，放心吧。我正有此意。然后我们就能得到一些答案了。","О, не волнуйся. Именно это я и собираюсь сделать. А потом мы получим ответы.","Ah, não se preocupe. É o que pretendo. Aí vamos conseguir algumas respostas.","Oh, keine Sorge. Genau das habe ich vor. Danach bekommen wir ein paar Antworten.","ああ、心配しないで。そのつもりよ。それから答えを聞き出してやるわ。","Oh, t'inquiète. C'est bien mon intention. Et ensuite on obtiendra des réponses.","Och, nie martw się. Taki mam zamiar. A potem wyciągniemy z niego odpowiedzi.","오, 걱정 마. 그럴 생각이니까. 그러고 나면 답을 좀 듣게 되겠지."
Text/39/text,"Man, if it wasn’t for the whole eldritch-zombies and split-consciousness thing, having these powers would be awesome.  Feels good not needing to rely on anyone!","Tía, si no fuera por todo el rollo de los zombis sobrenaturales y la conciencia dividida, tener estos poderes sería una pasada. ¡Qué bien sienta no depender de nadie!","唉，要不是有什么诡异僵尸和意识分裂这档子事，拥有这些力量简直棒呆了。不用依赖任何人的感觉真好！","Эх, если бы не вся эта жуть с зомби и расщеплённым сознанием, эти силы были бы просто восторг. Как же приятно ни от кого не зависеть!","Cara, se não fosse toda essa história de zumbis sobrenaturais e consciência dividida, ter esses poderes seria incrível. É bom demais não precisar depender de ninguém!","Mann, wären da nicht die ganzen Grusel-Zombies und das gespaltene Bewusstsein, wären diese Kräfte einfach großartig. Fühlt sich gut an sich auf niemanden verlassen zu müssen!","あーあ、不気味なゾンビと意識分裂のことさえなければ、この力って最高なんだけどな。誰にも頼らなくていいって気分いい！","La vache, sans toute cette histoire de zombies surnaturels et de conscience coupée en deux, avoir ces pouvoirs serait génial. Ça fait du bien de ne dépendre de personne !","Ech, gdyby nie te wszystkie upiorne zombie i rozdwojona świadomość, te moce byłyby czymś wspaniałym. Jak dobrze nie musieć na nikim polegać!","하아, 그 기괴한 좀비들이랑 의식 분열만 아니면 이 힘도 참 끝내줄 텐데. 아무한테도 기댈 필요 없다는 건 기분 좋네!"
Text/3a/text,"Yeah, yeah, it must be nice not being held hostage in an alternate universe. We get it. Anyways, look at what I found!","Ya, ya, qué suerte no estar secuestrada en un universo alternativo. Lo pillamos. En fin, ¡mira lo que he encontrado!","是是是，没被扣押在异宇宙当人质，肯定很爽。我们懂了。总之，看看我找到了什么！","Да-да, наверное, здорово не сидеть заложницей в параллельной вселенной. Мы поняли. Ладно, смотри, что я нашла!","Tá, tá, deve ser ótimo não estar refém num universo alternativo. Entendemos. Enfim, olha o que eu achei!","Ja, ja, muss schön sein nicht in einem Paralleluniversum festgehalten zu werden. Schon verstanden. Wie auch immer, sieh mal was ich gefunden habe!","はいはい、異世界に囚われてなくてよかったですねー。わかったわよ。それより、私が見つけたものを見て！","Ouais, ouais, ça doit être sympa de ne pas être retenue en otage dans un univers parallèle. On a compris. Bref, regarde ce que j'ai trouvé !","No tak, tak, musi być miło nie tkwić jako zakładniczka w równoległym wszechświecie. Rozumiemy. W każdym razie — patrz, co znalazłam!","그래그래, 평행 우주에 인질로 안 잡혀 있으니 좋으시겠어. 알았다고. 아무튼, 내가 뭘 찾았는지 봐!"
Text/3b/text,Is that cthulhu?,¿Eso es Cthulhu?,那是克苏鲁吗？,"Это что, Ктулху?",Isso é o Cthulhu?,Ist das Cthulhu?,それってクトゥルフ？,C'est Cthulhu ?,Czy to Cthulhu?,저거 크툴루야?
Text/3c/text,"Well, obviously no, but it kinda looks like him. They call it an “Old One” in the painting. They seem to be worshipped like gods? And look in the corner–","Obviamente no, pero se le parece. En el cuadro lo llaman “Antiguo”. ¿Parece que los adoraban como a dioses? Y mira en la esquina…","当然不是，但确实有点像。画上称它为“古老者”。他们似乎被当作神明崇拜？再看角落里——","Разумеется, нет, но похож. На картине его называют «Древним». Кажется, им поклонялись как богам? И взгляни в угол…","Bem, obviamente não, mas até que parece com ele. No quadro chamam de “Antigo”. Parece que eram adorados como deuses? E olha no canto–","Na ja, offensichtlich nicht, aber er sieht ihm irgendwie ähnlich. Auf dem Gemälde nennen sie es einen „Alten“. Sie scheinen wie Götter verehrt zu werden? Und sieh mal in die Ecke–","もちろん違うけど、ちょっと似てるよね。絵の中では「古きもの」と呼ばれてる。神々みたいに崇拝されてたみたい？それと、隅を見て——","Évidemment non, mais ça lui ressemble un peu. Dans le tableau, ils l'appellent un « Ancien ». On dirait qu'ils étaient vénérés comme des dieux ? Et regarde dans le coin…","No, oczywiście że nie, ale trochę go przypomina. Na obrazie nazywają go „Przedwiecznym”. Wygląda, jakby czczono ich jak bogów? I spójrz w róg…","당연히 아니지, 근데 좀 닮긴 했어. 그림에서는 “올드 원”이라고 부르네. 신처럼 숭배받았던 것 같은데? 그리고 구석을 봐…"
Text/3d/text,Argus.,Argus.,阿古斯。,Аргус.,Argus.,Argus.,アーガス。,Argus.,Argus.,아르구스.
Text/3e/text,"Right, but he’s not mentioned anywhere. And given how nearly everything’s covered up or destroyed, I’m guessing this was stuff he didn’t want anyone to see.","Exacto, pero no se le menciona en ningún sitio. Y viendo que casi todo está tapado o destruido, supongo que era algo que no quería que nadie viera.","没错，但哪里都没有提到他。而且几乎所有东西都被掩盖或销毁了，我猜这些正是他不想让任何人看到的东西。","Именно. Но о нём нигде ни слова. И раз почти всё здесь замазано или уничтожено, полагаю, это то, что он не хотел никому показывать.","Pois é, mas ele não é mencionado em lugar nenhum. E vendo que quase tudo foi encoberto ou destruído, imagino que fosse algo que ele não queria que ninguém visse.","Genau, aber er wird nirgendwo erwähnt. Und da fast alles übermalt oder zerstört ist, schätze ich das war Zeug das niemand sehen sollte.","そう。でも彼のことはどこにも書かれてない。ほとんど全部が塗りつぶされたり壊されたりしてるところを見ると、誰にも見られたくなかったものなんでしょうね。","Exact, mais il n'est mentionné nulle part. Et vu que presque tout est recouvert ou détruit, je suppose que c'était des choses qu'il ne voulait montrer à personne.","No właśnie, ale nigdzie o nim nie wspominają. A skoro prawie wszystko jest zamalowane albo zniszczone, zgaduję, że to rzeczy, których nie chciał nikomu pokazywać.","맞아, 근데 그에 대한 언급은 어디에도 없어. 거의 모든 게 가려지거나 파괴된 걸 보면, 아무한테도 보여주고 싶지 않았던 것들인가 봐."
Text/3f/text,So what does it all mean?,"¿Y qué significa todo esto?",那这一切意味着什么？,И что всё это значит?,E o que tudo isso significa?,Und was bedeutet das alles?,で、それってどういう意味なの？,Alors qu'est-ce que ça veut dire ?,Więc co to wszystko znaczy?,그래서 이게 다 무슨 뜻인데?
Text/40/text,I’m not sure. But maybe Argus has been causing chaos for longer than we realize.,"No estoy segura. Pero puede que Argus lleve sembrando el caos más tiempo del que creemos.","我不确定。但也许阿古斯制造混乱的时间，比我们以为的要久得多。","Не знаю. Но, возможно, Аргус сеет хаос куда дольше, чем мы думаем.","Não sei ao certo. Mas talvez o Argus venha causando caos há mais tempo do que imaginamos.","Ich bin mir nicht sicher. Aber vielleicht stiftet Argus schon viel länger Chaos als uns bewusst ist.","わからない。でも、アーガスは私たちが思うよりずっと前から混乱を引き起こしてたのかも。","Je ne sais pas trop. Mais Argus sème peut-être le chaos depuis plus longtemps qu'on ne le croit.","Nie jestem pewna. Ale może Argus sieje chaos dłużej, niż nam się wydaje.","잘 모르겠어. 하지만 아르구스는 우리 생각보다 훨씬 오래전부터 혼란을 일으켜 왔는지도 몰라."
Text/41/text,I’m starting to worry this will be a lot harder than just getting him to undo the deal.,"Empiezo a temer que esto será mucho más difícil que simplemente conseguir que deshaga el trato.","我开始担心，这件事远比让他撤销交易要难得多。","Я начинаю бояться, что всё будет куда сложнее, чем просто уговорить его расторгнуть сделку.","Estou começando a achar que isso vai ser bem mais difícil do que só fazer ele desfazer o acordo.","Ich fürchte langsam das wird viel schwieriger als ihn nur dazu zu bringen den Deal rückgängig zu machen.","ただ取引を取り消させるだけじゃ済まない気がしてきた……。","Je commence à craindre que ce soit bien plus dur que de simplement lui faire annuler le marché.","Zaczynam się bać, że to będzie dużo trudniejsze niż samo zmuszenie go do cofnięcia układu.","단순히 거래를 무르게 하는 것보다 훨씬 어려운 일이 될까 봐 슬슬 걱정되기 시작했어."
Text/42/text,Depends how badly we care about saving the world.,"Depende de cuánto nos importe salvar el mundo.","那要看我们有多在乎拯救世界了。","Смотря насколько сильно нам хочется спасти мир.","Depende do quanto a gente se importa em salvar o mundo.","Kommt drauf an wie sehr uns die Rettung der Welt am Herzen liegt.","世界を救うことにどれだけ本気か、次第ね。","Ça dépend à quel point on tient à sauver le monde.","Zależy, jak bardzo zależy nam na ratowaniu świata.","우리가 세상을 구하는 데 얼마나 진심이냐에 달렸지."
Text/43/text,"See, this is why I never trust businessmen.","¿Ves? Por esto nunca me fío de los empresarios.","看吧，这就是我从不相信商人的原因。","Вот поэтому я и не доверяю бизнесменам.","Viu? É por isso que eu nunca confio em empresários.","Siehst du, genau deshalb traue ich Geschäftsleuten nie.","ほらね、だから私はビジネスマンを信用しないの。","Tu vois, c'est pour ça que je ne fais jamais confiance aux hommes d'affaires.","Widzisz, właśnie dlatego nigdy nie ufam biznesmenom.","거봐, 이래서 난 사업가들을 절대 안 믿는다니까."
Text/44/text,And suddenly I remember why we never had any friends in school. Can’t trust anybody.,"Y de pronto recuerdo por qué nunca tuvimos amigos en el colegio. No se puede confiar en nadie.","我突然想起我们上学时为什么从来没有朋友了。谁都信不得。","И тут я вспомнила, почему у нас в школе не было друзей. Никому нельзя доверять.","E de repente eu lembro por que nunca tivemos amigos na escola. Não dá pra confiar em ninguém.","Und plötzlich weiß ich wieder warum wir in der Schule nie Freunde hatten. Man kann niemandem trauen.","それで急に思い出したわ。私たちが学校で友達ゼロだった理由。誰も信用できないからよ。","Et soudain je me rappelle pourquoi on n'a jamais eu d'amis à l'école. On ne peut faire confiance à personne.","I nagle sobie przypominam, czemu nigdy nie miałyśmy przyjaciół w szkole. Nikomu nie można ufać.","그러고 보니 우리가 학교에서 친구가 없었던 이유가 갑자기 기억나네. 아무도 믿을 수 없으니까."
Text/45/text,Why should we? Everybody sucks and just looks out for themselves.,"¿Y por qué deberíamos? Todo el mundo es horrible y solo mira por sí mismo.","凭什么要信？人人都烂透了，只顾自己。","А зачем? Все паршивцы и думают только о себе.","E por que deveríamos? Todo mundo é péssimo e só pensa em si.","Warum sollten wir auch? Alle sind mies und schauen nur auf sich selbst.","当然でしょ。みんな最低で、自分のことしか考えてないんだから。","Et pourquoi on devrait ? Tout le monde est nul et ne pense qu'à soi.","A czemu miałybyśmy ufać? Wszyscy są okropni i myślą tylko o sobie.","왜 믿어야 하는데? 다들 형편없고 자기 자신만 챙기잖아."
Text/46/text,"Listen, I agree. So explain to me why you’re trying to save the world?","Mira, estoy de acuerdo. Entonces explícame: ¿por qué intentas salvar el mundo?","听着，我同意。那你解释一下，你为什么还要拯救世界？","Слушай, я согласна. Тогда объясни: зачем ты пытаешься спасти мир?","Olha, eu concordo. Então me explica: por que você está tentando salvar o mundo?","Hör zu, da stimme ich zu. Dann erklär mir mal warum du versuchst die Welt zu retten?","ええ、同感よ。じゃあ教えてよ、なんであんたは世界を救おうとしてるわけ？","Écoute, je suis d'accord. Alors explique-moi pourquoi tu essaies de sauver le monde ?","Słuchaj, zgadzam się. To wytłumacz mi, czemu próbujesz ratować świat?","그래, 나도 동의해. 그럼 설명해 봐. 넌 왜 세상을 구하려는 건데?"
Text/47/text,"Because… it’s the right thing to do? I don’t know, maybe if we can rebuild the world we can make it a better place. One where people don’t suck.","Porque… ¿es lo correcto? No sé, quizá si reconstruimos el mundo podamos hacerlo un lugar mejor. Uno donde la gente no sea horrible.","因为……这是正确的事？我也说不好，也许如果我们能重建世界，就能把它变得更好。一个人们不那么烂的世界。","Потому что… так правильно? Не знаю. Может, если мы отстроим мир заново, он станет лучше. Таким, где люди не паршивцы.","Porque… é a coisa certa a fazer? Sei lá, talvez se a gente puder reconstruir o mundo, dê pra torná-lo um lugar melhor. Um onde as pessoas não sejam péssimas.","Weil… es das Richtige ist? Keine Ahnung, vielleicht können wir die Welt beim Wiederaufbau zu einem besseren Ort machen. Einem an dem die Leute nicht mies sind.","だって……それが正しいことだから？わかんない。でも、世界を作り直せたら、もっとマシな場所にできるかも。人がクズじゃない世界にさ。","Parce que… c'est la bonne chose à faire ? Je ne sais pas, peut-être qu'en reconstruisant le monde on pourra en faire un endroit meilleur. Un monde où les gens ne sont pas nuls.","Bo… tak należy? Nie wiem, może jeśli odbudujemy świat, uda się uczynić go lepszym. Takim, w którym ludzie nie są okropni.","그야… 옳은 일이니까? 나도 몰라. 어쩌면 세상을 다시 세울 수 있다면 더 나은 곳으로 만들 수 있을지도 모르잖아. 사람들이 형편없지 않은 세상으로."
Text/48/text,"Seems like a stretch to me. Let’s just focus on finding Rohan, so he can take us to Argus and fix your mess.","A mí me parece mucho suponer. Centrémonos en encontrar a Rohan, para que nos lleve hasta Argus y arregle tu desastre.","我觉得悬。还是专心找罗翰吧，让他带我们去见阿古斯，收拾你的烂摊子。","По-моему, это чересчур оптимистично. Давай просто сосредоточимся на поисках Рохана: пусть отведёт нас к Аргусу, и разгребём твой бардак.","Acho meio forçado. Vamos só focar em achar o Rohan, pra ele nos levar até o Argus e consertar a sua bagunça.","Klingt für mich ziemlich weit hergeholt. Konzentrieren wir uns einfach darauf Rohan zu finden, damit er uns zu Argus bringt und dein Chaos beseitigt wird.","どうかしらね。とにかくローハンを見つけることに集中しましょ。アーガスのところへ案内させて、あんたの尻拭いをするのよ。","Ça me paraît tiré par les cheveux. Concentrons-nous sur Rohan : qu'il nous mène à Argus pour réparer ton bazar.","Jak dla mnie to naciągane. Skupmy się po prostu na znalezieniu Rohana, żeby zaprowadził nas do Argusa i naprawił twój bałagan.","좀 무리수 같은데. 일단 로한을 찾는 데 집중하자. 그가 우릴 아르구스에게 데려가서 네 사고를 수습하게 해야지."
Text/49/text,"Our mess. And yeah, that’s the plan. But I suspect he’s heading to the city, so it might take a while to catch up. I don’t see you doing much to help, though.","Nuestro desastre. Y sí, ese es el plan. Pero sospecho que va hacia la ciudad, así que tardaremos en alcanzarlo. Aunque no veo que tú ayudes mucho, la verdad.","是我们的烂摊子。对，计划就是这样。但我猜他正往城里去，追上他可能得花点时间。话说回来，我可没见你帮上什么忙。","Наш бардак. И да, таков план. Но, подозреваю, он направляется в город, так что догонять придётся долго. А от тебя, между прочим, помощи не видно.","Nossa bagunça. E sim, esse é o plano. Mas suspeito que ele esteja indo pra cidade, então pode demorar pra alcançá-lo. Só que não vejo você ajudando muito, viu.","Unser Chaos. Und ja, so ist der Plan. Aber ich vermute er ist auf dem Weg in die Stadt, es könnte also dauern ihn einzuholen. Von dir sehe ich allerdings nicht viel Hilfe.","「私たちの」尻拭いでしょ。ええ、そのつもりよ。でも彼は街へ向かってると思うから、追いつくには時間がかかりそう。それにしても、あんたが役に立ってるようには見えないけど。","Notre bazar. Et oui, c'est le plan. Mais je le soupçonne de se diriger vers la ville, ça risque de prendre du temps pour le rattraper. Cela dit, je ne te vois pas beaucoup aider.","Nasz bałagan. I tak, taki jest plan. Ale podejrzewam, że zmierza do miasta, więc doganianie może chwilę potrwać. Swoją drogą, jakoś nie widzę, żebyś bardzo pomagała.","우리 사고겠지. 그래, 그게 계획이야. 근데 그가 도시로 향하는 것 같아서 따라잡는 데 시간이 걸릴지도 몰라. 그나저나 넌 별로 돕는 것 같지 않은데."
Text/4a/text,I’m doing research.,Estoy investigando.,我在做研究。,Я занимаюсь исследованиями.,Estou fazendo pesquisa.,Ich betreibe Forschung.,調べ物をしてるの。,Je fais des recherches.,Prowadzę badania.,나 지금 조사 중이거든.
Text/4b/text,What?,¿Qué?,什么？,Что?,Quê?,Was?,はあ？,Quoi ?,Co?,뭐?
Text/4c/text,"I found a library. Look, there's tons of books and paintings about the people that used to live here…","He encontrado una biblioteca. Mira, hay montones de libros y cuadros sobre la gente que vivía aquí…","我找到了一座图书馆。看，这里有成堆关于曾经住在这里的人们的书籍和画作……","Я нашла библиотеку. Смотри, тут куча книг и картин о людях, что жили здесь раньше…","Achei uma biblioteca. Olha, tem um monte de livros e quadros sobre o povo que vivia aqui…","Ich habe eine Bibliothek gefunden. Sieh mal, hier sind massenhaft Bücher und Gemälde über die Leute die früher hier lebten…","図書館を見つけたの。見て、ここに昔住んでいた人たちについての本や絵が山ほどある……","J'ai trouvé une bibliothèque. Regarde, il y a des tonnes de livres et de tableaux sur les gens qui vivaient ici…","Znalazłam bibliotekę. Patrz, jest tu mnóstwo książek i obrazów o ludziach, którzy tu kiedyś żyli…","도서관을 찾았어. 봐, 예전에 여기 살던 사람들에 관한 책이랑 그림이 산더미야…"
Text/4d/text,"Alright, well while you’re browsing, I’m gonna fight some zombies.","Vale, pues mientras tú curioseas, yo voy a pelear contra unos zombis.","行吧，你慢慢翻，我去打几只僵尸。","Ну ладно, пока ты листаешь книжки, я пойду подерусь с зомби.","Beleza, enquanto você folheia, eu vou lutar com uns zumbis.","Na gut, während du stöberst, kämpfe ich gegen ein paar Zombies.","そう。じゃああんたが読書してる間、私はゾンビと戦ってくるわ。","D'accord, eh bien pendant que tu bouquines, moi je vais me battre contre des zombies.","No dobra, to kiedy ty przeglądasz, ja pójdę powalczyć z zombie.","그래, 넌 구경이나 해. 난 좀비랑 싸우고 올게."
Text/4e/text,"It’s okay, the zombies are gone now. It’s safe.","Tranquila, los zombis ya no están. Es seguro.","没事了，僵尸都被清光了。现在安全了。","Всё в порядке, зомби больше нет. Теперь безопасно.","Tudo bem, os zumbis já se foram. Está seguro.","Ist okay, die Zombies sind jetzt weg. Es ist sicher.","もう大丈夫、ゾンビはいなくなったよ。安全だから。","C'est bon, les zombies sont partis maintenant. C'est sûr.","Już dobrze, zombie zniknęły. Jest bezpiecznie.","괜찮아요, 좀비들은 이제 없어요. 안전해요."
Text/4f/text,"Geez, thank you so much. I thought I’d take ‘em all by myself, but I guess I overestimate my own strength sometimes.","Uf, muchísimas gracias. Pensaba encargarme de todos yo sola, pero a veces sobreestimo mis propias fuerzas.","天哪，太感谢了。我本来想一个人把它们全解决掉，但看来我有时是高估了自己的实力。","Ох, спасибо огромное. Я-то думала, что справлюсь со всеми сама, но, видимо, иногда переоцениваю свои силы.","Nossa, muito obrigada. Achei que ia dar conta de todos sozinha, mas acho que às vezes superestimo minha própria força.","Meine Güte, vielen Dank. Ich dachte ich schaffe sie alle allein, aber ich überschätze meine Kräfte wohl manchmal.","わあ、本当にありがとう。全部ひとりで倒すつもりだったんだけど、時々自分の力を過信しちゃうみたいで。","Oh là là, merci beaucoup. Je pensais tous les affronter toute seule, mais j'ai tendance à surestimer mes forces parfois.","Ojej, wielkie dzięki. Myślałam, że sama dam im wszystkim radę, ale chyba czasem przeceniam własne siły.","어휴, 정말 고마워요. 혼자 다 해치울 생각이었는데, 가끔 제 힘을 과대평가하나 봐요."
Text/50/text,I can’t blame you…,No te culpo…,这也不能怪你……,Не могу тебя винить…,Não posso te culpar…,Kann ich dir nicht verübeln…,その気持ち、わかるけど……,Je ne peux pas t'en vouloir…,Nie dziwię ci się…,그럴 만도 하지…
Text/51/text,"Alright, you’ve made your point. You’re a hero, whatever.  Let's just move on now.","Vale, ya lo has dejado claro. Eres una heroína, lo que sea. Sigamos adelante.","行了行了，你的意思我们懂了。你是英雄，随便啦。我们继续赶路吧。","Ладно, мы поняли. Ты герой, как скажешь. Идём дальше.","Tá, já entendemos. Você é uma heroína, tanto faz. Vamos seguir em frente.","Schon gut, wir haben's kapiert. Du bist eine Heldin, von mir aus. Lass uns jetzt einfach weiterziehen.","はいはい、わかったわよ。あんたはヒーロー、はいすごい。もう先へ進みましょ。","Bon, on a compris. T'es une héroïne, peu importe. Avançons maintenant.","Dobra, zrozumiałyśmy. Jesteś bohaterką, niech ci będzie. Ruszajmy dalej.","알았어, 무슨 말인지 알겠다고. 영웅 나셨네, 그래. 이제 그만 가자."
Text/52/text,"Fine. Well, uh, good luck…","Vale. Bueno, eh… suerte…","好吧。那个……祝你好运……","Ладно. Ну, э-э… удачи…","Tá. Bem, é… boa sorte…","Na schön. Also, äh, viel Glück…","わかった。じゃあ、その……頑張ってね……","D'accord. Bon, euh, bonne chance…","W porządku. No to, ee… powodzenia…","그래요. 그럼, 어… 행운을 빌어요…"
Text/53/text,"Name’s Ally! But, uh, you’re not just gonna leave me here, right?","¡Me llamo Ally! Pero, eh… no vais a dejarme aquí tirada, ¿verdad?","我叫艾莉！不过，呃，你们不会就把我丢在这儿吧？","Меня зовут Элли! Но… вы же не бросите меня здесь, правда?","Meu nome é Ally! Mas, ah, você não vai simplesmente me deixar aqui, né?","Ich heiße Ally! Aber, äh, du lässt mich doch nicht einfach hier zurück, oder?","アリーって言います！でも、えっと、まさか私をここに置いてったりしないよね？","Je m'appelle Ally ! Mais, euh, tu ne vas pas me laisser ici, hein ?","Mam na imię Ally! Ale, ee, nie zostawisz mnie tu tak po prostu, prawda?","전 앨리예요! 그런데, 어, 설마 절 여기 두고 가진 않을 거죠?"
Text/54/text,"Nu–uh. Nope. There’s no way in hell we’re bringing her with us. We don’t know this girl, she might be crazy! At the very least she’d slow us down.","Ni hablar. No. De ninguna manera nos la llevamos con nosotras. No conocemos a esta chica, ¡podría estar loca! Como mínimo nos retrasaría.","不行不行。没门。我们绝对不能带上她。我们根本不认识这姑娘，她说不定是个疯子！最起码也会拖累我们。","Не-а. Нет. Ни за что на свете мы не возьмём её с собой. Мы её не знаем — вдруг она сумасшедшая! Как минимум она нас задержит.","Não, não. Nem pensar. Não tem a menor chance de levarmos ela conosco. Não conhecemos essa garota, ela pode ser doida! No mínimo ia nos atrasar.","Nä-ä. Nein. Auf gar keinen Fall nehmen wir die mit. Wir kennen dieses Mädchen nicht, sie könnte verrückt sein! Zumindest würde sie uns ausbremsen.","だーめ。無理。彼女を連れて行くなんて絶対にありえない。素性も知らないし、頭がおかしいかもしれないでしょ！少なくとも足手まといになるわ。","Non, non. Pas question. Il est hors de question qu'on l'emmène avec nous. On ne connaît pas cette fille, elle est peut-être folle ! Au minimum, elle nous ralentirait.","Nie ma mowy. Nie. Za żadne skarby jej ze sobą nie zabierzemy. Nie znamy tej dziewczyny, może być szalona! Co najmniej by nas spowalniała.","어림도 없어. 절대 안 돼. 걔를 데려가는 일은 죽어도 없을 거야. 우린 이 애를 몰라. 미친 애일지도 모른다고! 최소한 우리 발목은 잡겠지."
